Date,Gold,Oil,DXY,US10Y
2022-01-03,76.08000183105469,96.23999786376953,1799.4000244140625,1.628000020980835
2022-01-04,76.98999786376953,96.29000091552734,1814.0,1.6679999828338623
2022-01-05,77.8499984741211,96.19000244140625,1824.5999755859375,1.7050000429153442
2022-01-06,79.45999908447266,96.25,1788.699951171875,1.7330000400543213
2022-01-07,78.9000015258789,95.73999786376953,1797.0,1.7710000276565552
2022-01-10,78.2300033569336,95.98999786376953,1798.4000244140625,1.7799999713897705
2022-01-11,81.22000122070312,95.62000274658203,1818.5999755859375,1.746000051498413
2022-01-12,82.63999938964844,95.0,1827.199951171875,1.725000023841858
2022-01-13,82.12000274658203,94.79000091552734,1821.199951171875,1.7109999656677246
2022-01-14,83.81999969482422,95.16999816894531,1816.5,1.7719999551773071
2022-01-18,85.43000030517578,95.7300033569336,1812.300048828125,1.8650000095367432
2022-01-19,86.95999908447266,95.51000213623047,1843.0999755859375,1.8270000219345093
2022-01-20,86.9000015258789,95.73999786376953,1842.5,1.8329999446868896
2022-01-21,85.13999938964844,95.63999938964844,1831.800048828125,1.746999979019165
2022-01-24,83.30999755859375,95.91999816894531,1841.699951171875,1.7350000143051147
2022-01-25,85.5999984741211,95.94999694824219,1852.699951171875,1.7829999923706055
2022-01-26,87.3499984741211,96.48999786376953,1829.9000244140625,1.8480000495910645
2022-01-27,86.61000061035156,97.26000213623047,1793.300048828125,1.8070000410079956
2022-01-28,86.81999969482422,97.2699966430664,1784.9000244140625,1.781999945640564
2022-01-31,88.1500015258789,96.54000091552734,1795.0,1.781999945640564
2022-02-01,88.19999694824219,96.38999938964844,1800.300048828125,1.7999999523162842
2022-02-02,88.26000213623047,95.94000244140625,1809.199951171875,1.7660000324249268
2022-02-03,90.2699966430664,95.37999725341797,1803.0,1.8270000219345093
2022-02-04,92.30999755859375,95.4800033569336,1806.5999755859375,1.9299999475479126
2022-02-07,91.31999969482422,95.4000015258789,1820.5999755859375,1.9160000085830688
2022-02-08,89.36000061035156,95.63999938964844,1826.5999755859375,1.9539999961853027
2022-02-09,89.66000366210938,95.48999786376953,1835.199951171875,1.9290000200271606
2022-02-10,89.87999725341797,95.55000305175781,1836.199951171875,2.0309998989105225
2022-02-11,93.0999984741211,96.08000183105469,1840.800048828125,1.9550000429153442
2022-02-14,95.45999908447266,96.37000274658203,1868.0,1.996000051498413
2022-02-15,92.06999969482422,95.98999786376953,1854.800048828125,2.0450000762939453
2022-02-16,93.66000366210938,95.69999694824219,1870.199951171875,2.046999931335449
2022-02-17,91.76000213623047,95.80000305175781,1900.699951171875,1.972000002861023
2022-02-18,91.06999969482422,96.04000091552734,1898.5999755859375,1.9320000410079956
2022-02-22,92.3499984741211,96.02999877929688,1906.0999755859375,1.9479999542236328
2022-02-23,92.0999984741211,96.19000244140625,1909.199951171875,1.9769999980926514
2022-02-24,92.80999755859375,97.13999938964844,1925.0999755859375,1.968999981880188
2022-02-25,91.58999633789062,96.62000274658203,1886.5,1.9859999418258667
2022-02-28,95.72000122070312,96.70999908447266,1899.4000244140625,1.8389999866485596
2022-03-01,103.41000366210938,97.41000366210938,1942.4000244140625,1.7070000171661377
2022-03-02,110.5999984741211,97.38999938964844,1920.9000244140625,1.8650000095367432
2022-03-03,107.66999816894531,97.79000091552734,1934.4000244140625,1.843999981880188
2022-03-04,115.68000030517578,98.6500015258789,1965.0999755859375,1.7239999771118164
2022-03-07,119.4000015258789,99.29000091552734,1993.9000244140625,1.7510000467300415
2022-03-08,123.69999694824219,99.05999755859375,2040.0999755859375,1.871999979019165
2022-03-09,108.69999694824219,97.97000122070312,1985.9000244140625,1.9479999542236328
2022-03-10,106.0199966430664,98.51000213623047,1998.0999755859375,2.010999917984009
2022-03-11,109.33000183105469,99.12000274658203,1982.699951171875,2.003999948501587
2022-03-14,103.01000213623047,99.05999755859375,1959.5999755859375,2.140000104904175
2022-03-15,96.44000244140625,99.06999969482422,1928.5,2.1600000858306885
2022-03-16,95.04000091552734,98.37999725341797,1908.0,2.187999963760376
2022-03-17,102.9800033569336,98.01000213623047,1942.0999755859375,2.191999912261963
2022-03-18,104.69999694824219,98.2300033569336,1928.199951171875,2.1480000019073486
2022-03-21,112.12000274658203,98.5,1928.5999755859375,2.315000057220459
2022-03-22,111.76000213623047,98.48999786376953,1920.699951171875,2.372999906539917
2022-03-23,114.93000030517578,98.62000274658203,1936.5999755859375,2.321000099182129
2022-03-24,112.33999633789062,98.79000091552734,1961.5999755859375,2.3410000801086426
